dummy,current_age,retirement_age,earnings_level,current_savings,savings_after_divorce,additional_annual_savings,portfolio,age,portfolio_value_expected,portfolio_value_ub,portfolio_value_lb,income_expected,income_ub,income_lb
x,40,65,low,100000,50000,0,MPU_ES010,56,83548.67791,93767.08681,73347.03677,6690.637729,8685.434639,4689.944332
x,40,65,low,100000,50000,0,MPU_ES010,57,86274.77162,97101.68431,75368.76227,6743.358729,8797.650184,4667.816075
x,40,65,low,100000,50000,0,MPU_ES010,58,89117.96184,100594.5733,77549.47199,6798.684379,8942.948789,4645.155034
x,40,65,low,100000,50000,0,MPU_ES010,59,91998.9507,104067.0991,79876.10821,6846.777563,9041.424167,4630.257054
x,40,65,low,100000,50000,0,MPU_ES010,60,95029.17187,107823.5953,82167.67695,6901.102418,9150.548469,4616.870438
x,40,65,low,100000,50000,0,MPU_ES010,61,98101.73813,111715.5097,84441.993,6951.770002,9276.589566,4619.187528
x,40,65,low,100000,50000,0,MPU_ES010,62,101268.6409,115459.5431,86896.77314,7005.213184,9424.424571,4584.735483
x,40,65,low,100000,50000,0,MPU_ES010,63,104570.8915,119714.157,89392.89535,7064.860268,9572.963593,4565.814853
x,40,65,low,100000,50000,0,MPU_ES010,64,108006.577,123949.5303,92022.65778,7115.571521,9648.70587,4557.786811
x,40,65,low,100000,50000,0,MPU_ES010,65,111545.5111,128430.6059,94725.4881,7184.550972,9806.485213,4562.482656
x,40,65,low,100000,50000,0,MPU_ES020,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES020,41,51822.86206,53828.553,49799.50756,5979.888726,6441.47587,5511.136569
x,40,65,low,100000,50000,0,MPU_ES020,42,53715.21789,56651.99117,50749.28547,6040.643546,6710.036827,5379.402624
x,40,65,low,100000,50000,0,MPU_ES020,43,55687.08563,59388.41812,51956.35831,6110.982553,6941.387838,5278.251388
x,40,65,low,100000,50000,0,MPU_ES020,44,57738.73494,62161.21018,53268.19268,6185.428988,7167.75429,5222.905825
x,40,65,low,100000,50000,0,MPU_ES020,45,59811.02363,64916.18215,54582.20092,6249.300409,7342.702919,5168.225182
x,40,65,low,100000,50000,0,MPU_ES020,46,61998.44946,67854.0892,56096.11598,6322.156284,7528.968705,5121.5381
x,40,65,low,100000,50000,0,MPU_ES020,47,64238.65417,70799.31022,57669.83079,6393.673267,7710.88196,5090.037706
x,40,65,low,100000,50000,0,MPU_ES020,48,66606.54736,73860.63096,59279.44814,6470.161334,7899.889421,5060.257347
x,40,65,low,100000,50000,0,MPU_ES020,49,69025.14543,76966.91671,61019.96232,6549.420641,8076.967186,5033.198584
x,40,65,low,100000,50000,0,MPU_ES020,50,71553.37896,80314.84381,62759.96209,6624.422757,8219.255697,5010.72077
x,40,65,low,100000,50000,0,MPU_ES020,51,74150.42536,83711.11756,64590.53395,6702.263231,8423.400839,4992.899869
x,40,65,low,100000,50000,0,MPU_ES020,52,76825.75809,87032.15089,66479.94166,6779.881606,8578.212022,4948.188527
x,40,65,low,100000,50000,0,MPU_ES020,53,79580.91747,90714.02714,68437.52524,6848.917913,8742.284727,4943.035914
x,40,65,low,100000,50000,0,MPU_ES020,54,82475.70043,94469.48388,70481.12738,6920.624887,8893.227085,4929.658446
x,40,65,low,100000,50000,0,MPU_ES020,55,85494.43791,98187.50573,72649.50569,6995.387782,9059.253748,4931.168115
x,40,65,low,100000,50000,0,MPU_ES020,56,88598.34099,102347.407,74826.14338,7073.149216,9230.712825,4910.155475
x,40,65,low,100000,50000,0,MPU_ES020,57,91784.59225,106448.7531,77028.08561,7161.884229,9454.928767,4905.038618
x,40,65,low,100000,50000,0,MPU_ES020,58,95074.89733,110688.0649,79389.81509,7241.763959,9603.673087,4909.601536
x,40,65,low,100000,50000,0,MPU_ES020,59,98532.01944,115117.467,81786.38482,7330.721311,9796.244734,4901.349892
x,40,65,low,100000,50000,0,MPU_ES020,60,102129.0854,119928.8344,84217.96279,7413.541299,9959.631601,4894.988802
x,40,65,low,100000,50000,0,MPU_ES020,61,105820.8056,124648.2371,86754.17388,7496.375672,10077.9673,4877.962609
x,40,65,low,100000,50000,0,MPU_ES020,62,109615.5394,129633.0001,89425.18819,7570.290257,10285.91248,4862.348183
x,40,65,low,100000,50000,0,MPU_ES020,63,113656.272,134876.9579,92526.76552,7657.402193,10432.34317,4872.930423
x,40,65,low,100000,50000,0,MPU_ES020,64,117849.1431,140305.7199,95394.34998,7744.861249,10549.66393,4872.021084
x,40,65,low,100000,50000,0,MPU_ES020,65,122154.9359,145975.6114,98358.24718,7829.451642,10742.75162,4851.683254
x,40,65,low,100000,50000,0,MPU_ES030,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES030,41,51976.02314,54500.0308,49434.51466,6008.343966,6508.258808,5503.810371
x,40,65,low,100000,50000,0,MPU_ES030,42,54048.71773,57797.33504,50278.27504,6095.069205,6814.785721,5379.268918
x,40,65,low,100000,50000,0,MPU_ES030,43,56183.40594,60968.90447,51431.53409,6178.083555,7062.789791,5292.798793
x,40,65,low,100000,50000,0,MPU_ES030,44,58391.76911,64124.13551,52714.6193,6270.622477,7305.732765,5226.94649
x,40,65,low,100000,50000,0,MPU_ES030,45,60753.01306,67448.20564,54148.85718,6361.570256,7540.585324,5170.689225
x,40,65,low,100000,50000,0,MPU_ES030,46,63154.89112,70719.73801,55650.7619,6459.58048,7773.815037,5137.606987
x,40,65,low,100000,50000,0,MPU_ES030,47,65690.03222,74204.49102,57219.59899,6562.503916,7999.751572,5110.104414
x,40,65,low,100000,50000,0,MPU_ES030,48,68325.7689,77756.66359,59024.78596,6650.832825,8194.604193,5094.08148
x,40,65,low,100000,50000,0,MPU_ES030,49,71062.67837,81510.85524,60673.01124,6746.500851,8409.013543,5074.327805
x,40,65,low,100000,50000,0,MPU_ES030,50,73893.3543,85279.33214,62522.03982,6835.409058,8579.005185,5075.42218
x,40,65,low,100000,50000,0,MPU_ES030,51,76873.91283,89246.26293,64422.23598,6937.986952,8828.811491,5041.386704
x,40,65,low,100000,50000,0,MPU_ES030,52,79894.63069,93442.22157,66370.70944,7039.963026,8985.981952,5053.149249
x,40,65,low,100000,50000,0,MPU_ES030,53,83065.3627,97597.72533,68463.61918,7145.998351,9201.600107,5044.533125
x,40,65,low,100000,50000,0,MPU_ES030,54,86466.33217,102153.888,70802.63532,7249.839498,9405.645535,5037.326792
x,40,65,low,100000,50000,0,MPU_ES030,55,89912.4062,106872.6268,72991.88809,7352.449125,9604.727277,5046.33608
x,40,65,low,100000,50000,0,MPU_ES030,56,93467.96917,111794.4639,75330.51683,7461.283677,9832.175367,5057.119577
x,40,65,low,100000,50000,0,MPU_ES030,57,97201.56862,116867.131,77777.47151,7570.130406,10075.60777,5046.018472
x,40,65,low,100000,50000,0,MPU_ES030,58,101047.1738,122085.084,80207.66672,7676.895149,10229.99212,5049.023248
x,40,65,low,100000,50000,0,MPU_ES030,59,104974.833,127162.0605,82614.9772,7785.3824,10469.56924,5057.690034
x,40,65,low,100000,50000,0,MPU_ES030,60,109146.996,132868.4979,85454.9419,7888.500307,10589.37832,5067.269776
x,40,65,low,100000,50000,0,MPU_ES030,61,113468.6657,138794.9006,88543.56432,7995.936937,10798.12655,5073.50575
x,40,65,low,100000,50000,0,MPU_ES030,62,118009.5025,145091.6306,91334.44981,8120.187841,11038.25597,5071.082862
x,40,65,low,100000,50000,0,MPU_ES030,63,122627.2962,151104.5668,94191.12215,8228.165528,11269.72209,5064.704778
x,40,65,low,100000,50000,0,MPU_ES030,64,127488.2499,157665.6867,97183.44343,8346.365813,11505.50214,5067.851924
x,40,65,low,100000,50000,0,MPU_ES030,65,132546.1922,164414.3364,100714.2826,8470.356754,11754.53172,5099.413573
x,40,65,low,100000,50000,0,MPU_ES040,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES040,41,52185.87586,55388.91575,48976.85374,6023.244623,6580.72155,5461.884181
x,40,65,low,100000,50000,0,MPU_ES040,42,54476.45774,59111.90342,49784.44839,6129.436395,6915.357585,5333.043578
x,40,65,low,100000,50000,0,MPU_ES040,43,56894.30253,62925.2316,50910.79152,6250.841949,7235.883767,5270.40047
x,40,65,low,100000,50000,0,MPU_ES040,44,59383.46492,66628.94439,52203.88438,6370.578579,7525.485145,5217.407275
x,40,65,low,100000,50000,0,MPU_ES040,45,61945.76328,70447.00392,53552.91639,6478.986146,7777.875402,5167.43964
x,40,65,low,100000,50000,0,MPU_ES040,46,64658.39841,74151.00985,55174.38806,6600.706681,8045.605843,5151.370723
x,40,65,low,100000,50000,0,MPU_ES040,47,67500.97994,78092.53687,56924.75914,6724.90957,8321.161046,5126.42707
x,40,65,low,100000,50000,0,MPU_ES040,48,70477.97685,82406.17158,58612.22463,6854.52003,8569.085315,5121.00783
x,40,65,low,100000,50000,0,MPU_ES040,49,73573.41088,86620.58337,60443.32938,6978.8127,8836.22709,5102.925883
x,40,65,low,100000,50000,0,MPU_ES040,50,76790.06003,91217.45008,62356.42624,7112.99852,9120.802657,5088.584086
x,40,65,low,100000,50000,0,MPU_ES040,51,80159.85066,96011.8373,64240.54272,7245.108519,9352.622506,5110.550929
x,40,65,low,100000,50000,0,MPU_ES040,52,83684.31024,100662.4969,66473.65011,7385.481724,9605.853386,5106.837867
x,40,65,low,100000,50000,0,MPU_ES040,53,87315.68201,105912.2204,68501.69367,7517.624845,9866.27705,5119.284552
x,40,65,low,100000,50000,0,MPU_ES040,54,91108.83972,111311.2663,70715.65728,7660.724842,10121.46647,5126.263396
x,40,65,low,100000,50000,0,MPU_ES040,55,95013.36027,116997.2016,73105.90636,7792.074539,10381.21609,5134.219009
x,40,65,low,100000,50000,0,MPU_ES040,56,99185.82747,122752.1104,75492.60112,7933.443935,10612.27415,5152.554363
x,40,65,low,100000,50000,0,MPU_ES040,57,103543.8151,128958.6181,78106.44525,8081.359411,10925.62147,5180.179057
x,40,65,low,100000,50000,0,MPU_ES040,58,108137.4737,135020.8096,80725.12452,8237.008121,11257.66594,5179.952557
x,40,65,low,100000,50000,0,MPU_ES040,59,112852.5138,141858.4426,83301.09315,8381.242123,11475.58646,5187.775001
x,40,65,low,100000,50000,0,MPU_ES040,60,117772.533,149353.9417,86242.97726,8538.997344,11810.17369,5175.984192
x,40,65,low,100000,50000,0,MPU_ES040,61,122894.1102,156585.0445,89286.26695,8706.19776,12112.58402,5231.1673
x,40,65,low,100000,50000,0,MPU_ES040,62,128325.9432,164284.191,92313.79401,8874.268282,12420.83801,5251.699422
x,40,65,low,100000,50000,0,MPU_ES040,63,133911.3114,172002.0679,95465.25623,9041.559556,12741.20617,5289.500402
x,40,65,low,100000,50000,0,MPU_ES040,64,139659.6124,179586.4202,98722.09951,9213.35609,13051.89986,5322.635516
x,40,65,low,100000,50000,0,MPU_ES040,65,145831.163,189053.0024,102526.639,9377.296002,13341.81124,5334.475163
x,40,65,low,100000,50000,0,MPU_ES050,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES050,41,52416.37317,56284.79011,48562.82504,6052.43549,6661.098882,5434.536906
x,40,65,low,100000,50000,0,MPU_ES050,42,54883.53661,60558.97834,49192.81128,6181.901827,7080.202886,5294.991825
x,40,65,low,100000,50000,0,MPU_ES050,43,57504.92307,64724.56463,50264.28524,6327.192051,7432.437341,5218.647948
x,40,65,low,100000,50000,0,MPU_ES050,44,60186.20875,68908.38765,51507.20344,6459.997454,7752.185998,5165.114408
x,40,65,low,100000,50000,0,MPU_ES050,45,63079.66313,73190.51188,52916.41365,6605.124001,8081.481711,5117.341285
x,40,65,low,100000,50000,0,MPU_ES050,46,66025.57884,77252.39066,54438.38021,6742.664534,8392.629607,5103.330337
x,40,65,low,100000,50000,0,MPU_ES050,47,69123.44302,81940.8573,56011.28403,6896.958132,8704.20268,5082.452623
x,40,65,low,100000,50000,0,MPU_ES050,48,72485.28293,87127.22661,57786.98191,7056.327427,9059.830117,5087.764595
x,40,65,low,100000,50000,0,MPU_ES050,49,75859.03547,92177.52109,59604.42579,7209.360651,9355.004895,5077.644299
x,40,65,low,100000,50000,0,MPU_ES050,50,79446.20318,97137.62023,61522.40406,7371.863351,9636.603465,5079.698916
x,40,65,low,100000,50000,0,MPU_ES050,51,83185.25153,102869.655,63727.82516,7534.841455,9986.312551,5091.2239
x,40,65,low,100000,50000,0,MPU_ES050,52,87115.77604,108357.0466,65668.90284,7703.825112,10303.55821,5099.476251
x,40,65,low,100000,50000,0,MPU_ES050,53,91263.55855,114395.1689,67934.96131,7883.022851,10639.68436,5122.833789
x,40,65,low,100000,50000,0,MPU_ES050,54,95629.83714,120649.5657,70261.34238,8061.789361,10957.39665,5140.045136
x,40,65,low,100000,50000,0,MPU_ES050,55,100231.8452,127503.3282,72718.14466,8251.409033,11346.95249,5151.295551
x,40,65,low,100000,50000,0,MPU_ES050,56,104963.7308,134495.284,75347.55629,8433.549093,11658.50041,5155.524901
x,40,65,low,100000,50000,0,MPU_ES050,57,109986.7335,141752.3281,77761.88014,8633.182487,11984.80286,5164.785055
x,40,65,low,100000,50000,0,MPU_ES050,58,115231.1058,149102.7637,80593.76246,8822.026006,12419.89202,5200.922852
x,40,65,low,100000,50000,0,MPU_ES050,59,120650.5899,157009.0763,83599.01642,9031.063009,12818.66461,5255.900436
x,40,65,low,100000,50000,0,MPU_ES050,60,126386.8749,165575.5708,86462.94784,9230.278146,13122.73217,5271.388153
x,40,65,low,100000,50000,0,MPU_ES050,61,132395.9932,174226.2797,89982.95522,9435.468642,13508.04258,5304.684277
x,40,65,low,100000,50000,0,MPU_ES050,62,138628.0817,183581.6051,93020.2832,9649.158233,13905.01021,5325.35561
x,40,65,low,100000,50000,0,MPU_ES050,63,145149.9767,192921.2297,96231.41921,9853.433385,14288.04862,5365.668992
x,40,65,low,100000,50000,0,MPU_ES050,64,151975.3188,203788.8135,99563.24417,10062.9334,14693.88674,5407.098411
x,40,65,low,100000,50000,0,MPU_ES050,65,159192.9216,214271.9875,103424.6977,10283.30017,15024.32627,5443.429148
x,40,65,low,100000,50000,0,MPU_ES060,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES060,41,52541.60654,56988.47542,48064.13949,6067.749682,6741.561402,5381.618732
x,40,65,low,100000,50000,0,MPU_ES060,42,55190.99688,61647.33181,48662.37945,6219.45716,7195.40114,5237.703972
x,40,65,low,100000,50000,0,MPU_ES060,43,57997.92666,66466.98224,49413.32216,6373.189644,7604.922377,5143.925662
x,40,65,low,100000,50000,0,MPU_ES060,44,61065.83491,71270.97829,50705.35541,6546.020498,8019.569359,5084.274002
x,40,65,low,100000,50000,0,MPU_ES060,45,64159.5187,76196.94605,51980.16162,6713.056938,8358.005052,5050.036175
x,40,65,low,100000,50000,0,MPU_ES060,46,67380.24663,81301.25129,53383.00316,6889.987783,8750.701162,5030.655167
x,40,65,low,100000,50000,0,MPU_ES060,47,70846.91073,86458.23885,55061.22371,7069.706736,9143.497792,5008.717421
x,40,65,low,100000,50000,0,MPU_ES060,48,74477.59998,91786.44404,56707.67621,7259.755492,9542.779415,5007.824121
x,40,65,low,100000,50000,0,MPU_ES060,49,78202.34111,97708.37005,58645.61642,7446.502596,9862.829084,5009.143398
x,40,65,low,100000,50000,0,MPU_ES060,50,82285.32215,104070.7608,60568.59078,7648.005266,10306.448,5003.764819
x,40,65,low,100000,50000,0,MPU_ES060,51,86495.02008,110322.8797,62782.30862,7847.167709,10681.46245,5009.048264
x,40,65,low,100000,50000,0,MPU_ES060,52,90890.83074,116736.4962,64736.69854,8057.655845,11038.80745,5031.288015
x,40,65,low,100000,50000,0,MPU_ES060,53,95583.7071,123785.8341,67319.93814,8276.687595,11501.98104,5028.68961
x,40,65,low,100000,50000,0,MPU_ES060,54,100464.4977,131459.0487,69433.19262,8493.075984,11948.11053,5039.413388
x,40,65,low,100000,50000,0,MPU_ES060,55,105568.6348,138918.6872,71921.0864,8700.204157,12347.84829,5084.525577
x,40,65,low,100000,50000,0,MPU_ES060,56,111101.6653,147621.5322,74531.90911,8939.334513,12712.52514,5101.425205
x,40,65,low,100000,50000,0,MPU_ES060,57,116857.4566,155883.9845,77090.77592,9177.340614,13088.71367,5126.774672
x,40,65,low,100000,50000,0,MPU_ES060,58,122761.8866,164494.2593,79521.07504,9406.047033,13559.30869,5154.462351
x,40,65,low,100000,50000,0,MPU_ES060,59,129024.8348,173778.6903,82379.99998,9644.52638,13956.41646,5160.700119
x,40,65,low,100000,50000,0,MPU_ES060,60,135506.1042,184579.2334,85703.94032,9886.876705,14389.6738,5204.011819
x,40,65,low,100000,50000,0,MPU_ES060,61,142407.9233,194441.9802,88815.93715,10150.45726,14827.88948,5260.448893
x,40,65,low,100000,50000,0,MPU_ES060,62,149707.8456,205946.6865,92373.43319,10400.37281,15326.55892,5296.727227
x,40,65,low,100000,50000,0,MPU_ES060,63,157410.9455,217957.2923,95710.98318,10674.91518,15811.95555,5345.011683
x,40,65,low,100000,50000,0,MPU_ES060,64,165578.2147,230290.369,99572.54714,10956.42061,16341.92678,5356.27791
x,40,65,low,100000,50000,0,MPU_ES060,65,173988.5361,243335.395,103472.3671,11236.16987,16860.46106,5410.258515
x,40,65,low,100000,50000,0,MPU_ES070,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES070,41,52765.26099,57895.8343,47608.94939,6099.97775,6868.067254,5330.467306
x,40,65,low,100000,50000,0,MPU_ES070,42,55610.61925,63302.39794,47921.29773,6281.021371,7380.584534,5181.141797
x,40,65,low,100000,50000,0,MPU_ES070,43,58532.63814,68202.82946,48694.33007,6467.198427,7838.366193,5087.793631
x,40,65,low,100000,50000,0,MPU_ES070,44,61687.34489,73550.63266,49722.40974,6653.42475,8293.205468,5014.995555
x,40,65,low,100000,50000,0,MPU_ES070,45,64993.96815,78798.80154,51063.51773,6845.531757,8687.469311,4963.594094
x,40,65,low,100000,50000,0,MPU_ES070,46,68594.46923,84575.28121,52602.17582,7050.000942,9128.895579,4926.845316
x,40,65,low,100000,50000,0,MPU_ES070,47,72369.98961,90492.48615,54332.1606,7249.169341,9530.523635,4924.229871
x,40,65,low,100000,50000,0,MPU_ES070,48,76268.00561,96611.57744,55812.24994,7465.239472,9977.407893,4893.55957
x,40,65,low,100000,50000,0,MPU_ES070,49,80481.48563,102962.3498,57558.42739,7692.187758,10486.29824,4915.912426
x,40,65,low,100000,50000,0,MPU_ES070,50,84896.13083,110147.61,59461.11295,7917.410563,10921.88263,4897.180182
x,40,65,low,100000,50000,0,MPU_ES070,51,89509.85867,117091.0121,61543.89633,8148.870178,11354.8804,4918.702877
x,40,65,low,100000,50000,0,MPU_ES070,52,94297.04666,124998.849,63576.1313,8398.107213,11767.19391,4949.15031
x,40,65,low,100000,50000,0,MPU_ES070,53,99411.26068,132609.2719,65674.0114,8647.279172,12243.38053,4960.677581
x,40,65,low,100000,50000,0,MPU_ES070,54,104794.0574,141465.7107,67868.15608,8901.162693,12803.66129,4954.604395
x,40,65,low,100000,50000,0,MPU_ES070,55,110554.0225,150445.8676,70600.80489,9172.143204,13264.07635,4982.114907
x,40,65,low,100000,50000,0,MPU_ES070,56,116512.1499,159597.0948,72932.40499,9432.664301,13762.43621,5035.899602
x,40,65,low,100000,50000,0,MPU_ES070,57,122865.8316,169857.9918,75824.35006,9730.75762,14263.50828,5061.755449
x,40,65,low,100000,50000,0,MPU_ES070,58,129231.9515,179199.2334,78540.63465,10001.97296,14798.36683,5072.21657
x,40,65,low,100000,50000,0,MPU_ES070,59,136246.7557,190014.4826,81423.01665,10300.64195,15286.82598,5107.938838
x,40,65,low,100000,50000,0,MPU_ES070,60,143558.7364,201481.9513,84919.30825,10604.07139,15924.21963,5157.388717
x,40,65,low,100000,50000,0,MPU_ES070,61,151231.385,213398.1033,87780.21501,10917.3827,16531.67913,5200.970707
x,40,65,low,100000,50000,0,MPU_ES070,62,159345.1162,226549.6325,91068.92145,11232.91484,17091.00942,5236.549713
x,40,65,low,100000,50000,0,MPU_ES070,63,167777.0052,240104.9358,94667.43867,11552.41975,17787.99826,5273.807554
x,40,65,low,100000,50000,0,MPU_ES070,64,176598.7908,253807.897,98395.47338,11890.73069,18356.36781,5289.972414
x,40,65,low,100000,50000,0,MPU_ES070,65,186111.6628,269763.0316,101633.3106,12234.82781,18902.72824,5365.435825
x,40,65,low,100000,50000,0,MPU_ES080,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES080,41,52793.76064,58483.13566,47060.62641,6101.113917,6928.144025,5258.812052
x,40,65,low,100000,50000,0,MPU_ES080,42,55941.5887,64594.3419,47348.38997,6310.919251,7543.090066,5087.13011
x,40,65,low,100000,50000,0,MPU_ES080,43,59155.12289,70414.3988,48055.85608,6515.36743,8062.212379,4973.484261
x,40,65,low,100000,50000,0,MPU_ES080,44,62524.48727,75806.052,49020.43005,6730.235202,8552.509591,4913.099731
x,40,65,low,100000,50000,0,MPU_ES080,45,66131.44906,81927.90574,50110.95519,6955.068166,9081.68854,4845.503299
x,40,65,low,100000,50000,0,MPU_ES080,46,69878.67762,87965.77424,51499.94761,7186.820145,9503.586379,4830.987645
x,40,65,low,100000,50000,0,MPU_ES080,47,73932.73789,94761.34168,53085.96666,7426.502751,10049.91962,4801.870915
x,40,65,low,100000,50000,0,MPU_ES080,48,78328.65865,101805.0861,55009.87539,7691.076567,10560.09169,4802.338622
x,40,65,low,100000,50000,0,MPU_ES080,49,82901.50374,109293.1105,56627.77127,7951.800283,11101.81553,4802.331034
x,40,65,low,100000,50000,0,MPU_ES080,50,87726.63687,116635.7941,58705.19577,8227.361123,11605.76724,4781.695543
x,40,65,low,100000,50000,0,MPU_ES080,51,92766.89667,124964.4249,60524.46259,8496.206366,12048.57994,4798.693963
x,40,65,low,100000,50000,0,MPU_ES080,52,98127.78185,133044.8399,62318.27224,8771.284685,12637.74329,4833.789557
x,40,65,low,100000,50000,0,MPU_ES080,53,103878.7128,142960.9712,64431.18948,9068.899679,13176.74571,4810.144846
x,40,65,low,100000,50000,0,MPU_ES080,54,109945.6159,152758.8846,66505.56989,9379.850391,13804.57531,4848.852654
x,40,65,low,100000,50000,0,MPU_ES080,55,116298.7226,163336.5063,69101.47897,9691.847251,14377.23421,4856.992705
x,40,65,low,100000,50000,0,MPU_ES080,56,122843.3533,173288.2834,71926.91143,10008.53094,14938.68874,4878.644801
x,40,65,low,100000,50000,0,MPU_ES080,57,129878.9126,184352.6919,74515.82251,10338.46363,15541.62524,4894.072824
x,40,65,low,100000,50000,0,MPU_ES080,58,137485.2378,196511.9762,77421.97717,10701.99337,16229.24563,4920.707229
x,40,65,low,100000,50000,0,MPU_ES080,59,145315.1868,209552.3709,80283.67584,11051.98251,16949.13952,4979.678698
x,40,65,low,100000,50000,0,MPU_ES080,60,153739.8019,222129.885,83469.77323,11421.4081,17562.4465,5031.498872
x,40,65,low,100000,50000,0,MPU_ES080,61,162491.4631,235378.354,86767.25634,11803.5933,18121.88328,5056.581259
x,40,65,low,100000,50000,0,MPU_ES080,62,171907.0165,251640.07,89878.19194,12200.95182,18897.21432,5118.2337
x,40,65,low,100000,50000,0,MPU_ES080,63,182148.8922,267841.7335,93237.95579,12621.73189,19730.38619,5163.726144
x,40,65,low,100000,50000,0,MPU_ES080,64,192463.9652,285471.7726,97135.31594,13027.75094,20521.55772,5158.072348
x,40,65,low,100000,50000,0,MPU_ES080,65,203847.8024,302964.052,101461.8145,13480.5774,21239.41101,5242.319628
x,40,65,low,100000,50000,0,MPU_ES090,40,100000,100000,100000,11825.38329,11825.38329,11825.38329
x,40,65,low,100000,50000,0,MPU_ES090,41,53047.04164,59583.04583,46549.45096,6126.395638,7063.66752,5190.384249
x,40,65,low,100000,50000,0,MPU_ES090,42,56320.51094,66011.80663,46785.60047,6356.472939,7699.409981,4998.886075
x,40,65,low,100000,50000,0,MPU_ES090,43,59754.34751,72072.8807,47347.06904,6591.217442,8329.538576,4886.080605
x,40,65,low,100000,50000,0,MPU_ES090,44,63346.70014,78408.72025,48251.51,6827.969576,8907.139315,4785.664662
x,40,65,low,100000,50000,0,MPU_ES090,45,67193.52882,85098.57385,49262.94341,7083.510765,9438.011249,4716.033045
x,40,65,low,100000,50000,0,MPU_ES090,46,71349.39798,92202.24288,50444.89851,7357.719358,10017.78875,4689.390878
x,40,65,low,100000,50000,0,MPU_ES090,47,75856.43026,99601.74316,52088.66314,7639.802617,10560.95944,4689.434922
x,40,65,low,100000,50000,0,MPU_ES090,48,80655.76077,107627.8196,53701.68863,7942.973473,11199.71878,4671.044785
x,40,65,low,100000,50000,0,MPU_ES090,49,85562.20145,115924.2424,55418.93373,8232.904468,11720.67883,4667.229266
x,40,65,low,100000,50000,0,MPU_ES090,50,90892.51544,125122.1721,57095.66843,8550.086117,12362.08512,4677.620693
x,40,65,low,100000,50000,0,MPU_ES090,51,96578.39932,134320.1887,59311.9786,8892.214153,13081.73339,4667.665644
x,40,65,low,100000,50000,0,MPU_ES090,52,102615.441,144482.6849,61091.25922,9236.98542,13710.0745,4678.478996
x,40,65,low,100000,50000,0,MPU_ES090,53,108817.7176,154234.0191,63369.93407,9571.73281,14328.0476,4693.553491
x,40,65,low,100000,50000,0,MPU_ES090,54,115630.0582,163921.2287,65529.16538,9944.08963,15008.74505,4740.967263
x,40,65,low,100000,50000,0,MPU_ES090,55,122804.124,175760.1271,67964.13679,10329.24584,15712.05568,4786.267184
